is:open updated:{{param|relative_date}},>1|today,3..1|last 3 days,7..4|last week,14..8|last 2 weeks,30..15|last month,<30|more than a month
2024-05-12,0,2,0,1,3,32
2024-05-11,2,0,0,1,3,32
2024-05-10,0,1,0,0,3,32
2024-05-09,0,1,1,0,3,32
2024-05-08,1,0,1,0,3,32
2024-05-07,0,0,1,0,1,32
2024-05-06,0,0,0,2,1,32
2024-05-05,0,1,0,2,1,32
2024-05-04,0,1,0,2,0,32
2024-05-03,1,0,0,3,0,32
2024-05-02,1,1,0,3,0,32
2024-05-01,1,0,0,3,1,31
2024-04-30,0,0,0,1,1,31
2024-04-29,0,0,2,1,1,31
2024-04-28,0,0,2,1,1,31
2024-04-27,0,0,2,0,1,31
2024-04-26,0,0,1,0,1,31
2024-04-25,0,2,1,0,1,31
2024-04-24,0,2,1,0,1,31
2024-04-23,2,0,0,0,1,31
2024-04-22,0,6,0,0,1,31
2024-04-21,0,6,0,0,1,31
2024-04-20,6,0,0,0,1,31
2024-04-19,4,0,0,0,44,0
2024-04-18,2,0,1,0,44,0
2024-04-17,3,0,1,0,47,0
2024-04-16,1,0,2,0,46,0
2024-04-15,1,0,1,1,45,0
2024-04-14,0,1,1,2,45,0
2024-04-13,0,1,0,2,45,0
2024-04-12,2,1,0,2,45,0
2024-04-11,4,1,0,3,45,0
2024-04-10,4,0,1,3,47,0
2024-04-09,3,0,4,2,47,0
2024-04-08,0,1,7,1,47,0
2024-04-07,0,1,4,1,47,0
2024-04-06,1,4,2,1,47,0
2024-04-05,2,7,1,0,47,0
2024-04-04,8,3,1,0,0,0
2024-04-03,4,2,1,48,0,0
2024-04-02,4,1,1,48,0,0
2024-04-01,1,3,1,50,0,0
2024-03-31,0,5,0,51,0,0
2024-03-30,3,3,0,51,0,0
2024-03-29,5,2,0,51,0,0
2024-03-28,4,1,0,0,0,0
2024-03-27,5,2,52,0,0,0
2024-03-26,5,0,52,0,0,0
2024-03-25,1,0,52,0,0,0
2024-03-24,0,3,0,0,0,0
2024-03-23,0,55,0,0,0,0
2024-03-22,3,52,0,0,0,0
2024-03-21,55,0,0,0,0,0
2024-03-20,1,0,1,4,4,42
2024-03-19,0,0,0,4,3,43
2024-03-18,0,1,0,5,3,43
2024-03-17,0,1,0,5,3,43
2024-03-16,1,0,0,2,3,42
2024-03-15,0,0,3,3,2,42
2024-03-14,1,1,3,3,2,42
2024-03-13,1,1,4,3,1,42
2024-03-12,1,0,1,3,1,42
2024-03-11,0,3,2,3,1,42
2024-03-10,0,3,1,3,1,42
2024-03-09,3,1,1,2,1,42
2024-03-08,2,1,1,1,1,46
