is:open created:{{param|relative_date}},>1|today,3..1|last 3 days,7..4|last week,14..8|last 2 weeks,30..15|last month,<30|more than a month
2024-12-10,0,0,2,0,4,44
2024-12-09,0,0,2,0,4,44
2024-12-08,0,1,1,0,4,44
2024-12-07,0,2,1,0,4,44
2024-12-06,1,1,0,0,4,44
2024-12-05,1,1,0,0,4,44
2024-12-04,1,1,0,0,4,44
2024-12-03,2,0,0,1,2,44
2024-12-02,0,0,0,4,2,44
2024-12-01,0,0,0,4,2,44
2024-11-30,0,0,0,4,2,44
2024-11-29,0,0,0,4,0,44
2024-11-28,0,0,0,6,1,43
2024-11-27,0,0,0,4,1,43
2024-11-26,0,0,2,2,1,43
2024-11-25,0,0,4,2,1,43
2024-11-24,0,0,4,2,1,43
2024-11-23,0,0,2,2,1,43
2024-11-22,0,2,0,0,1,43
2024-11-21,0,4,2,0,1,43
2024-11-20,2,2,2,0,1,43
2024-11-19,2,0,2,0,1,43
2024-11-18,0,0,0,0,1,43
2024-11-17,0,2,0,0,1,43
2024-11-16,0,2,0,0,1,43
2024-11-15,2,0,0,0,1,43
2024-11-14,0,0,0,0,1,44
2024-11-13,1,0,0,0,0,44
2024-11-12,0,0,0,2,0,44
2024-11-11,0,0,0,3,0,44
2024-11-10,0,0,0,3,0,44
2024-11-09,0,0,0,3,0,44
2024-11-08,0,0,0,3,0,44
2024-11-07,0,0,0,3,0,44
2024-11-06,0,0,0,1,0,44
2024-11-05,1,0,2,0,1,44
2024-11-04,1,1,4,0,2,44
2024-11-03,1,0,4,0,2,44
2024-11-02,0,0,2,0,2,44
2024-11-01,0,2,0,0,2,44
2024-10-31,0,4,0,0,2,44
2024-10-30,2,2,0,0,2,44
2024-10-29,2,0,0,1,2,45
2024-10-28,0,0,0,1,2,45
2024-10-27,0,0,0,1,2,45
2024-10-26,0,0,0,1,2,45
2024-10-25,0,0,0,1,1,45
2024-10-24,0,0,0,1,0,45
2024-10-23,0,0,1,2,0,45
2024-10-22,0,0,1,2,0,45
2024-10-21,0,1,1,2,0,45
2024-10-20,1,0,0,2,0,45
2024-10-19,0,1,0,2,0,45
2024-10-18,0,1,0,1,0,45
2024-10-17,1,0,1,0,0,45
2024-10-16,1,0,2,0,0,45
2024-10-15,0,0,3,0,0,45
2024-10-14,0,0,3,0,1,45
2024-10-13,0,1,1,0,1,45
2024-10-12,0,3,0,0,0,45
2024-10-11,1,3,1,1,0,45
2024-10-10,2,1,0,1,0,45
2024-10-09,1,1,0,1,0,45
2024-10-08,0,1,0,1,0,45
2024-10-07,1,0,0,1,0,45
2024-10-06,0,0,0,1,0,45
2024-10-05,0,0,0,0,0,45
2024-10-04,0,0,1,0,0,45
2024-10-03,0,0,1,0,1,44
2024-10-02,0,0,1,0,1,44
2024-10-01,0,0,0,0,1,44
2024-09-30,0,1,0,0,1,44
2024-09-29,0,1,0,0,1,44
2024-09-28,1,0,0,0,1,44
2024-09-27,0,1,0,0,1,44
2024-09-26,0,1,0,0,1,44
2024-09-25,1,2,0,0,1,44
2024-09-24,2,0,0,0,1,44
2024-09-23,0,0,0,0,1,44
2024-09-22,0,0,0,0,2,43
2024-09-21,0,0,0,0,2,43
2024-09-20,0,0,0,0,2,43
2024-09-19,0,0,0,0,2,44
2024-09-18,0,0,0,0,1,44
2024-09-17,0,0,0,1,2,43
2024-09-16,0,0,0,1,2,43
2024-09-15,0,0,0,1,2,43
2024-09-14,0,0,0,1,2,43
2024-09-13,0,0,0,1,2,43
2024-09-12,0,0,0,1,2,43
2024-09-11,0,0,0,0,2,43
2024-09-10,0,0,1,0,2,43
2024-09-09,0,0,1,0,2,43
2024-09-08,0,0,1,0,2,43
2024-09-07,0,0,0,0,3,41
2024-09-06,0,1,0,1,3,41
2024-09-05,0,1,0,1,3,41
2024-09-04,2,0,0,2,3,41
2024-09-03,0,0,0,2,3,41
2024-09-02,0,0,0,2,2,41
2024-09-01,0,0,0,2,2,41
2024-08-31,0,0,1,1,2,41
2024-08-30,0,0,2,1,2,41
2024-08-29,0,0,2,1,2,41
2024-08-28,0,0,1,1,2,41
2024-08-27,0,1,1,1,2,41
